행정구,공공자전거대여소수,대학생수,면적,배달상점개수,버스정류소수,수준지수,아파트수,운수및창고업사업체수,운수및창고업종사자수,인구밀도,인구수_19세이하,인구수_20대,인구수_30대,인구수_40대,인구수_50대,인구수_60세이상,일인가구비율,일인가구수_19세이하,일인가구수_20대,일인가구수_30대,일인가구수_40대,일인가구수_50대,일인가구수_60세이상,주문인구수,주차장수,지역내총생산,총인구,총일인가구수,총전입,코로나19확진자,토지공시지가,배송도착빈도,배송시작빈도,주문건수
강남구,145,24333,40,430,540,310,199,3193,11337,13773,93080,70610,77271,95346,78375,106550,33,498,14811,21467,11554,6852,130453,25901,398603,135157,544055,68999,190650,935,7200000,1285,1706,12878564
강동구,111,17032,25,81,388,48,103,5417,9366,18869,74205,61093,71901,74166,70785,108560,28,152,8961,10781,7529,7477,54958,21499,203140,21123,463998,50316,202874,582,3676000,308,316,2474793
강북구,60,12724,24,249,412,24,39,3108,6305,13202,35954,41584,37302,44324,50681,88886,35,288,7931,6711,6064,7478,14028,14895,11107,10286,311569,45685,83250,445,2294000,7698,6940,595882
강서구,162,22970,41,162,600,69,153,7280,50974,14140,81772,86392,97671,89039,83396,134181,35,336,20085,22075,11252,9855,22569,28048,18858,30233,585901,86172,174396,1339,2620000,1562,40,2361160
관악구,71,20319,30,322,468,26,64,3414,5480,17241,48528,108120,85058,65603,65896,110494,52,1121,52224,33144,13336,10411,18997,23786,153117,11400,509803,129233,196602,1017,3290000,54495,30632,2537705
광진구,83,15155,17,4,281,40,64,2495,5240,21105,43553,62050,54616,50470,52833,74994,41,562,20532,14683,7568,7110,11846,16683,19566,17482,360109,62301,111852,461,3729000,2,0,1624950
구로구,96,15836,20,2002,502,73,126,4907,9242,21496,56072,54325,61207,61260,61406,101442,31,232,10346,11238,7269,7115,14771,19319,10643,31963,432488,50971,121770,624,2530000,328694,343028,1772732
금천구,60,9046,13,456,359,159,39,2903,8999,19035,26177,37060,35686,31612,38836,59045,41,139,9806,9333,5449,6605,11002,11076,9152,69247,247835,42334,71506,326,2561000,155421,165088,1407746
노원구,119,28474,35,273,536,27,205,6564,11955,14872,82765,71042,63127,82643,86001,125713,28,590,10758,7430,6864,7789,23007,25273,6780,11883,527032,56438,136352,813,2405000,33750,20160,1530612
도봉구,67,14201,21,308,366,23,99,5002,9064,15852,42329,42249,39339,46449,55320,91298,27,196,4428,4963,4849,6007,14441,15766,9736,10135,327361,34884,80870,574,2282000,79094,95791,649304
동대문구,83,15886,14,10,309,46,93,3523,6520,25114,42933,55907,48870,48686,51264,86706,41,1527,21206,10059,6538,6616,14979,16472,10293,20244,357014,60925,109816,633,3140000,3,0,1404354
동작구,71,16643,16,384,432,37,105,2231,3644,24555,50916,65230,61135,57207,56870,92497,38,1261,22745,14377,6928,5623,13167,18819,136072,15982,401572,64101,128992,811,3445000,48627,48007,4011514
마포구,105,14769,24,26,560,121,114,2914,10892,16011,52029,61477,63258,59627,53322,75553,39,663,20197,16960,8569,5543,11240,17829,13158,52827,381858,63172,132430,694,4920000,396,0,8881733
서대문구,74,14523,18,23,456,60,75,2981,5480,18322,42249,49038,44085,45371,47540,74471,38,988,17927,9007,5311,4987,11643,14863,114661,26183,322952,49863,113008,513,2969000,2448,3021,1656534
서초구,136,17472,47,383,622,195,138,1611,10027,9132,77197,53079,60277,74852,61550,84947,28,600,9444,12553,7080,4934,9331,20484,262735,85327,429025,43942,142500,826,5782000,8446,3202,6013707
성동구,82,13539,17,4,447,87,106,2781,8814,17822,38951,44032,47174,43227,45589,66262,35,753,11902,8717,5654,5348,10211,14228,6659,38084,300505,42585,90306,450,3622000,86,0,1592942
성북구,75,21335,25,96,606,31,123,3557,6130,18190,64668,65831,58716,67661,67846,104101,34,1931,20967,9634,6577,6714,15687,21060,13084,13736,447056,61510,125906,812,2770000,4242,2413,1346331
송파구,184,28359,34,60,429,103,129,5836,14813,19896,105854,91511,106231,106036,99579,142138,29,284,15071,20871,11477,8729,17262,32085,321938,44826,673926,73694,213856,1119,5040000,181,3,3352431
양천구,100,21815,17,212,321,35,124,5017,12291,26301,80208,58267,56085,76833,75140,100191,24,144,5281,7331,5662,6199,14819,21784,11677,15449,457781,39436,128162,728,3050000,38820,19556,1239602
영등포구,136,12777,25,614,490,200,140,4167,10822,16595,49102,58843,68736,55134,54988,86401,39,189,17040,17424,8210,7257,13880,17683,10907,87124,407367,64000,158618,694,3345000,137530,163880,5048178
용산구,81,8429,22,16,328,125,61,1205,3951,11188,27948,33161,37546,33549,35002,52423,39,457,8309,9660,5532,4374,8549,10927,7441,54775,244645,36881,80564,418,5283000,0,0,11381640
은평구,92,20596,30,257,499,23,111,5172,8809,16292,65976,65875,66744,73917,75434,121332,30,235,10674,11672,8276,7969,19027,22794,18901,10219,484043,57853,152728,786,2813000,86112,85935,1131816
종로구,106,8276,24,4,372,468,25,1436,7606,6649,17767,22868,19331,20814,24112,37579,41,398,7442,4904,3259,3356,6624,7217,7111,204380,158996,25983,47264,404,3618000,6,0,3429641
중구,87,4788,10,4,200,967,36,1495,13924,13517,13017,18165,19688,17121,19496,32670,41,435,5482,4673,2993,3080,6155,6008,4233,422166,134635,22818,41554,283,5610000,0,0,22472631
중랑구,81,15227,19,7,382,26,90,6550,12496,21603,47701,55076,56556,55675,67005,103911,34,206,8938,10391,7904,10252,18914,18835,12438,11305,399562,56605,120428,802,2650000,523,11,751863
