자치구,운수 및 창고업 사업체수,운수 및 창고업 종사자수
강남구,"3,193","11,337"
강동구,"5,417","9,366"
강북구,"3,108","6,305"
강서구,"7,280","50,974"
관악구,"3,414","5,480"
광진구,"2,495","5,240"
구로구,"4,907","9,242"
금천구,"2,903","8,999"
노원구,"6,564","11,955"
도봉구,"5,002","9,064"
동대문구,"3,523","6,520"
동작구,"2,231","3,644"
마포구,"2,914","10,892"
서대문구,"2,981","5,480"
서초구,"1,611","10,027"
성동구,"2,781","8,814"
성북구,"3,557","6,130"
송파구,"5,836","14,813"
양천구,"5,017","12,291"
영등포구,"4,167","10,822"
용산구,"1,205","3,951"
은평구,"5,172","8,809"
종로구,"1,436","7,606"
중구,"1,495","13,924"
중랑구,"6,550","12,496"
