행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,"9,448,679","598,890","762,061","1,432,885","1,437,610","1,476,622","1,478,266","1,252,259","687,457","282,319","39,203","1,107"
종로구,"142,471","7,219","10,548","22,868","19,331","20,814","24,112","19,456","11,431","5,788",878,26
중구,"120,157","6,452","6,565","18,165","19,688","17,121","19,496","17,204","10,059","4,649",742,16
용산구,"219,629","13,046","14,902","33,161","37,546","33,549","35,002","27,611","15,543","8,028","1,208",33
성동구,"285,235","19,732","19,219","44,032","47,174","43,227","45,589","36,600","19,888","8,668","1,074",32
광진구,"338,516","18,422","25,131","62,050","54,616","50,470","52,833","42,931","21,801","9,065","1,154",43
동대문구,"334,366","19,888","23,045","55,907","48,870","48,686","51,264","46,396","27,241","11,632","1,382",55
중랑구,"385,924","21,940","25,761","55,076","56,556","55,675","67,005","59,292","30,946","12,088","1,548",37
성북구,"428,823","28,203","36,465","65,831","58,716","67,661","67,846","55,319","32,349","14,465","1,927",41
강북구,"298,731","14,774","21,180","41,584","37,302","44,324","50,681","46,281","29,234","11,975","1,370",26
도봉구,"316,984","17,693","24,636","42,249","39,339","46,449","55,320","50,337","27,276","12,015","1,625",45
노원구,"511,291","31,581","51,184","71,042","63,127","82,643","86,001","69,213","37,028","16,955","2,443",74
은평구,"469,278","28,403","37,573","65,875","66,744","73,917","75,434","65,002","38,136","16,242","1,908",44
서대문구,"302,754","19,347","22,902","49,038","44,085","45,371","47,540","38,518","23,169","11,285","1,456",43
마포구,"365,266","24,155","27,874","61,477","63,258","59,627","53,322","39,629","23,295","11,076","1,507",46
양천구,"446,724","30,469","49,739","58,267","56,085","76,833","75,140","58,894","28,617","10,998","1,643",39
강서구,"572,451","38,034","43,738","86,392","97,671","89,039","83,396","77,821","38,777","15,085","2,434",64
구로구,"395,712","26,641","29,431","54,325","61,207","61,260","61,406","56,538","31,607","11,818","1,448",31
금천구,"228,416","11,996","14,181","37,060","35,686","31,612","38,836","33,811","17,770","6,598",841,25
영등포구,"373,204","25,327","23,775","58,843","68,736","55,134","54,988","46,988","26,511","11,438","1,428",36
동작구,"383,855","23,731","27,185","65,230","61,135","57,207","56,870","49,505","29,194","12,100","1,652",46
관악구,"483,699","20,835","27,693","108,120","85,058","65,603","65,896","59,004","36,389","13,498","1,553",50
서초구,"411,902","32,498","44,699","53,079","60,277","74,852","61,550","46,961","26,484","9,780","1,673",49
강남구,"521,232","35,058","58,022","70,610","77,271","95,346","78,375","58,916","33,516","11,927","2,120",71
송파구,"651,349","48,209","57,645","91,511","106,231","106,036","99,579","85,051","40,280","14,339","2,400",68
강동구,"460,710","35,237","38,968","61,093","71,901","74,166","70,785","64,981","30,916","10,807","1,789",67
